tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	Simpson Island	SI1-116.95	SI1(116.3 to 118.8)	SI1-116.95a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.17	0.06	T		56.8	-66.2	4.8	8	100
This study	Simpson Island	SI1-116.96	SI1(116.3 to 118.8)	SI1-116.96a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.02	T		90.7	-68.9	0.5	7	100
This study	Simpson Island	SI1-116.97	SI1(116.3 to 118.8)	SI1-116.97a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.09	0.03	T		53.7	-65.0	1.5	7	100
This study	Simpson Island	SI1-116.9	SI1(116.3 to 118.8)	SI1-116.9a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.06	T		73.0	-72.7	0.9	7	100
This study	Simpson Island	SI1-117.05	SI1(116.3 to 118.8)	SI1-117.05a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.02	T		76.8	-75.5	0.3	7	100
This study	Simpson Island	SI1-117.2	SI1(116.3 to 118.8)	SI1-117.2a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.04	T		99.7	-68.3	0.6	7	100
This study	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.025	T		69.2	-71.9	2.2	6	100
This study	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T		90.9	-70.7	1.3	7	100
This study	Simpson Island	SI1-120.42	SI1(119.7 to 122.1)	SI1-120.42a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.008	T		73.3	-70.7	0.5	14	100
This study	Simpson Island	SI1-120.45	SI1(119.7 to 122.1)	SI1-120.45a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.008	T		103.8	-62.8	0.9	14	100
This study	Simpson Island	SI1-120.4	SI1(119.7 to 122.1)	SI1-120.4a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.008	T		62.9	-72.9		14	100
This study	Simpson Island	SI1-120.52	SI1(119.7 to 122.1)	SI1-120.52a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.008	T		91.0	-66.5	0.5	14	100
This study	Simpson Island	SI1-120.5	SI1(119.7 to 122.1)	SI1-120.5a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.04	T		95.5	-68.2	0.7	9	100
This study	Simpson Island	SI1-120.6	SI1(119.7 to 122.1)	SI1-120.6a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.17	0.07	T		51.9	-57.3	2.9	7	100
This study	Simpson Island	SI1-122.4	SI1(122.1 to 123.7)	SI1-122.4a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.05	T		64.5	-73.2	0.4	7	100
This study	Simpson Island	SI1-122.5	SI1(122.1 to 123.7)	SI1-122.5a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T		59.5	-68.9	0.4	8	100
This study	Simpson Island	SI1-122.65	SI1(122.1 to 123.7)	SI1-122.65a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T		79.5	-61.4	0.5	8	100
This study	Simpson Island	SI1-122.69	SI1(122.1 to 123.7)	SI1-122.69a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T		82.7	-70.9	0.4	8	100
This study	Simpson Island	SI1-123.35	SI1(122.1 to 123.7)	SI1-123.35a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T		90.1	-66.8	0.2	8	100
This study	Simpson Island	SI1-123.4	SI1(122.1 to 123.7)	SI1-123.4a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T		73.2	-71.6	0.5	8	100
