tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_correction	specimen_dec	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	Simpson Island	SI2c-3.15	SI2c(2.1 to 18.6)	SI2c-3.15a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		113.5	-51.6	0.7	7	100
This study	Simpson Island	SI2c-4.7	SI2c(2.1 to 18.6)	SI2c-4.7a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.015	T		111.7	-46.7	0.2	8	100
This study	Simpson Island	SI2c-4.8	SI2c(2.1 to 18.6)	SI2c-4.8a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.015	T		113.2	-47.8	0.6	8	100
This study	Simpson Island	SI2c-6.3	SI2c(2.1 to 18.6)	SI2c-6.3a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.015	T		112.3	-44.4	0.4	8	100
This study	Simpson Island	SI3-103.4	SI3(103.3 to 110.3)	SI3-103.4-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		87.5	-74.7	1.1	8	100
This study	Simpson Island	SI3-103.5	SI3(103.3 to 110.3)	SI3-103.5-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.17	0.08	T		76.4	-73.2	1.5	5	100
This study	Simpson Island	SI3-103.9	SI3(103.3 to 110.3)	SI3-103.9-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T		90.0	-66.6	1.1	7	100
This study	Simpson Island	SI3-103.95	SI3(103.3 to 110.3)	SI3-103.95-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		81.6	-69.5	0.8	8	100
This study	Simpson Island	SI3-104.3	SI3(103.3 to 110.3)	SI3-104.3-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T		87.8	-55	0.2	7	100
This study	Simpson Island	SI3-104.4	SI3(103.3 to 110.3)	SI3-104.4-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.03	T		77.1	-69.1	0.7	9	100
This study	Simpson Island	SI3-12.95	SI3(12.5 to 20.1)	SI3-12.95-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		128.7	-74.2	1.5	8	100
This study	Simpson Island	SI3-126.9	SI3(124.8 to 130.4)	SI3-126.9-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		87.7	-67.9	0.3	8	100
This study	Simpson Island	SI3-127.1	SI3(124.8 to 130.4)	SI3-127.1-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.03	T		80.4	-67.2	0.5	8	100
This study	Simpson Island	SI3-127.3	SI3(124.8 to 130.4)	SI3-127.3-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.03	T		89.1	-63	0.4	8	100
This study	Simpson Island	SI3-129.3	SI3(124.8 to 130.4)	SI3-129.3-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		78.6	-57	0.3	8	100
This study	Simpson Island	SI3-129.45	SI3(124.8 to 130.4)	SI3-129.45-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.03	T		73.2	-62.7	0.4	8	100
This study	Simpson Island	SI3-13.05	SI3(12.5 to 20.1)	SI3-13.05-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		125.8	-73.7	0.2	8	100
This study	Simpson Island	SI3-16.3	SI3(12.5 to 20.1)	SI3-16.3-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		106.8	-71.2	0.4	8	100
This study	Simpson Island	SI3-16.4	SI3(12.5 to 20.1)	SI3-16.4-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		125.3	-69.7	0.7	8	100
This study	Simpson Island	SI3-18.75	SI3(12.5 to 20.1)	SI3-18.75-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.04	T		87.2	-68.5	0.7	7	100
This study	Simpson Island	SI3-19.9	SI3(12.5 to 20.1)	SI3-19.9-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.04	T		71.3	-78.8	2.9	7	100
This study	Simpson Island	SI3-20.40	SI3(20.1 to 28.9)	SI3-20.4-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.015	T		110.1	-71.9	0.1	9	100
This study	Simpson Island	SI3-20.45	SI3(20.1 to 28.9)	SI3-20.45-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.015	T		116.7	-67.8	0.4	9	100
This study	Simpson Island	SI3-21.35	SI3(20.1 to 28.9)	SI3-21.35-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		109.3	-71.8	0.5	8	100
This study	Simpson Island	SI3-22.35	SI3(20.1 to 28.9)	SI3-22.35-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		111.5	-69.6	0.6	8	100
This study	Simpson Island	SI3-22.60	SI3(20.1 to 28.9)	SI3-22.6-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		107.9	-71.6	0.7	9	100
This study	Simpson Island	SI3-22.65	SI3(20.1 to 28.9)	SI3-22.65a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.01	T		109.5	-69.1	0.7	9	100
This study	Simpson Island	SI3-27.90	SI3(20.1 to 28.9)	SI3-27.9-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.015	T		104.0	-73.2	0.6	9	100
This study	Simpson Island	SI3-27.90	SI3(20.1 to 28.9)	SI3-27.90a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		100.2	-72.6	0.6	8	100
This study	Simpson Island	SI3-3.60	SI3(2.3 to 5.5)	SI3-3.6-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		147.5	-73.7	1.2	8	100
This study	Simpson Island	SI3-3.60	SI3(2.3 to 5.5)	SI3-3.60a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T		142.7	-71.8	0.8	8	100
This study	Simpson Island	SI3-3.70	SI3(2.3 to 5.5)	SI3-3.7-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		134.8	-71.5	0.2	9	100
This study	Simpson Island	SI3-3.70	SI3(2.3 to 5.5)	SI3-3.70a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		142.6	-67.2	1.4	8	100
This study	Simpson Island	SI3-37.80	SI3(36.9 to 48.4)	SI3-37.8-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		96.6	-61.9	0.4	8	100
This study	Simpson Island	SI3-37.80	SI3(36.9 to 48.4)	SI3-37.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		94.3	-65.5	0.6	7	100
This study	Simpson Island	SI3-37.85	SI3(36.9 to 48.4)	SI3-37.85-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		121.4	-72.1	0.6	8	100
This study	Simpson Island	SI3-37.85	SI3(36.9 to 48.4)	SI3-37.85a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		114.8	-68.5	0.7	7	100
This study	Simpson Island	SI3-38.70	SI3(36.9 to 48.4)	SI3-38.7-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		87.3	-74.7	0.2	8	100
This study	Simpson Island	SI3-38.70	SI3(36.9 to 48.4)	SI3-38.70a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		88.3	-70.8	0.3	10	100
This study	Simpson Island	SI3-38.80	SI3(36.9 to 48.4)	SI3-38.8-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		96.7	-72.2	0.4	8	100
This study	Simpson Island	SI3-38.80	SI3(36.9 to 48.4)	SI3-38.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		88.6	-66.4	0.3	8	100
This study	Simpson Island	SI3-39.80	SI3(36.9 to 48.4)	SI3-39.8-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		99.3	-72.5	0.3	8	100
This study	Simpson Island	SI3-39.80	SI3(36.9 to 48.4)	SI3-39.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		118.9	-75.6	0.2	8	100
This study	Simpson Island	SI3-39.82	SI3(36.9 to 48.4)	SI3-39.82-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		93.7	-70.8	0.3	8	100
This study	Simpson Island	SI3-39.82	SI3(36.9 to 48.4)	SI3-39.82a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		103.1	-70.5	0.3	8	100
This study	Simpson Island	SI3-4.10	SI3(2.3 to 5.5)	SI3-4.1-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		132.6	-71.5	0.8	8	100
This study	Simpson Island	SI3-4.10	SI3(2.3 to 5.5)	SI3-4.10a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		122.1	-65.2	1.1	7	100
This study	Simpson Island	SI3-4.20	SI3(2.3 to 5.5)	SI3-4.2-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T		134.3	-64.1	1	7	100
This study	Simpson Island	SI3-4.20	SI3(2.3 to 5.5)	SI3-4.20a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T		123.3	-56.3	1.2	6	100
This study	Simpson Island	SI3-4.60	SI3(2.3 to 5.5)	SI3-4.6-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T		147.9	-70	0.5	7	100
This study	Simpson Island	SI3-4.60	SI3(2.3 to 5.5)	SI3-4.60a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.09	0.025	T		140.0	-74.5	0.8	8	100
This study	Simpson Island	SI3-4.7	SI3(2.3 to 5.5)	SI3-4.7-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T		135.3	-71.5	0.6	7	100
This study	Simpson Island	SI3-5.6	SI3(5.5 to 12.5)	SI3-5.6-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		136.7	-69.7	0.4	8	100
This study	Simpson Island	SI3-58.00	SI3(55.8 to 60.9)	SI3-58.0-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		117.1	-70.8	0.3	8	100
This study	Simpson Island	SI3-58.00	SI3(55.8 to 60.9)	SI3-58.00a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		117.2	-71.6	0.4	7	100
This study	Simpson Island	SI3-58.02	SI3(55.8 to 60.9)	SI3-58.02-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		115.5	-70.4	0.3	8	100
This study	Simpson Island	SI3-58.02	SI3(55.8 to 60.9)	SI3-58.02a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		106.3	-73.2	0.3	7	100
This study	Simpson Island	SI3-58.04	SI3(55.8 to 60.9)	SI3-58.04-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		90.4	-65	0.6	8	100
This study	Simpson Island	SI3-58.04	SI3(55.8 to 60.9)	SI3-58.04a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		90.9	-65.2	0.5	7	100
This study	Simpson Island	SI3-59.70	SI3(55.8 to 60.9)	SI3-59.7-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		97.3	-69	0.4	8	100
This study	Simpson Island	SI3-59.70	SI3(55.8 to 60.9)	SI3-59.70a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.05	0.015	T		93.5	-69.1	0.9	6	100
This study	Simpson Island	SI3-59.80	SI3(55.8 to 60.9)	SI3-59.8-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T		121.8	-73.1	0.6	7	100
This study	Simpson Island	SI3-59.80	SI3(55.8 to 60.9)	SI3-59.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T		124.5	-71.2	0.4	6	100
This study	Simpson Island	SI3-59.90	SI3(55.8 to 60.9)	SI3-59.9-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T		106.9	-73	0.7	7	100
This study	Simpson Island	SI3-59.80	SI3(55.8 to 60.9)	SI3-59.90a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T		98.3	-72.5	0.4	6	100
This study	Simpson Island	SI3-6.4	SI3(5.5 to 12.5)	SI3-6.4-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.015	T		143.8	-72.1	0.4	9	100
This study	Simpson Island	SI3-7.05	SI3(5.5 to 12.5)	SI3-7.05a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.05	T		125.5	-72.3	1.1	8	100
This study	Simpson Island	SI3-7.20	SI3(5.5 to 12.5)	SI3-7.20a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.015	T		122.6	-74.5	0.4	8	100
This study	Simpson Island	SI3-7.25	SI3(5.5 to 12.5)	SI3-7.25-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.015	T		136.9	-75	0.3	8	100
This study	Simpson Island	SI3-7.30	SI3(5.5 to 12.5)	SI3-7.30a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.04	T		109.2	-73.2	1.9	9	100
This study	Simpson Island	SI3-8.30	SI3(5.5 to 12.5)	SI3-8.30a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T		161.2	-75.2	0.3	8	100
This study	Simpson Island	SI3-8.80	SI3(5.5 to 12.5)	SI3-8.8-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T		110.4	-62	0.5	7	100
This study	Simpson Island	SI3-8.80	SI3(5.5 to 12.5)	SI3-8.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.02	T		104.9	-64.1	0.4	7	100
This study	Simpson Island	SI3-9.60	SI3(5.5 to 12.5)	SI3-9.6-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		121.7	-71.3	0.4	8	100
This study	Simpson Island	SI3-9.60	SI3(5.5 to 12.5)	SI3-9.60a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		122.4	-70	0.5	10	100
This study	Simpson Island	SI3-9.63	SI3(5.5 to 12.5)	SI3-9.63-D	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		124.5	-73.6	0.5	9	100
This study	Simpson Island	SI3-D10	SI3(D1 to D10)	SI3-D10a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.05	0.01	T		284.9	45	2	7	100
This study	Simpson Island	SI3-D1	SI3(D1 to D10)	SI3-D1a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.04	0.008	T		286.6	55.7	1.8	7	100
This study	Simpson Island	SI3-D2	SI3(D1 to D10)	SI3-D2a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.04	0.008	T		288.8	56	1	7	100
This study	Simpson Island	SI3-D4	SI3(D1 to D10)	SI3-D4a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.03	0.005	T		278.9	50.2	1.3	7	100
This study	Simpson Island	SI3-D5	SI3(D1 to D10)	SI3-D5a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.03	0.005	T		295.0	55.1	0.7	7	100
This study	Simpson Island	SI3-D6	SI3(D1 to D10)	SI3-D6a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.04	0.008	T		293.8	56.5	0.7	7	100
This study	Simpson Island	SI3-D7	SI3(D1 to D10)	SI3-D7a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.04	0.008	T		287.2	55.4	1.4	7	100
This study	Simpson Island	SI3-D9	SI3(D1 to D10)	SI3-D9a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.04	0.008	T		284.5	47.8	1.2	7	100
This study	Simpson Island	SI4-1.9	SI4(0.0 to 13.8)	SI4-1.9a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.015	T		125.0	-72.5	0.6	9	100
This study	Simpson Island	SI4-108.00	SI4(106.0 to 121.4)	SI4-108.00a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		128.4	-59.7	0.5	10	100
This study	Simpson Island	SI4-109.20	SI4(106.0 to 121.4)	SI4-109.20a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		132.0	-57.5	0.4	10	100
This study	Simpson Island	SI4-109.21	SI4(106.0 to 121.4)	SI4-109.21a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		127.7	-54.8	0.5	10	100
This study	Simpson Island	SI4-109.40	SI4(106.0 to 121.4)	SI4-109.40a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		125.4	-54.9	0.3	10	100
This study	Simpson Island	SI4-111.40	SI4(106.0 to 121.4)	SI4-111.40a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		114.0	-56.4	0.4	10	100
This study	Simpson Island	SI4-113.40	SI4(106.0 to 121.4)	SI4-113.40a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		107.8	-53.9	0.3	10	100
This study	Simpson Island	SI4-113.50	SI4(106.0 to 121.4)	SI4-113.50a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		110.4	-57.9	0.1	10	100
This study	Simpson Island	SI4-113.60	SI4(106.0 to 121.4)	SI4-113.60a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		104.2	-41.7	0.3	10	100
This study	Simpson Island	SI4-122.80	SI4(121.4 to 127.3)	SI4-122.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		109.1	-49.6	0.5	10	100
This study	Simpson Island	SI4-123.10	SI4(121.4 to 127.3)	SI4-123.10a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		119.2	-51.9	0.5	10	100
This study	Simpson Island	SI4-123.65	SI4(121.4 to 127.3)	SI4-123.65a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		108.9	-52.8	0.7	10	100
This study	Simpson Island	SI4-123.70	SI4(121.4 to 127.3)	SI4-123.70a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		108.5	-51.2	0.7	10	100
This study	Simpson Island	SI4-123.80	SI4(121.4 to 127.3)	SI4-123.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		108.5	-55.6	0.3	10	100
This study	Simpson Island	SI4-123.81	SI4(121.4 to 127.3)	SI4-123.81a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		114.6	-40.8	1	10	100
This study	Simpson Island	SI4-124.05	SI4(121.4 to 127.3)	SI4-124.05a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		72.6	-45.1	0.3	10	100
This study	Simpson Island	SI4-124.10	SI4(121.4 to 127.3)	SI4-124.10a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		110.9	-54	0.4	10	100
This study	Simpson Island	SI4-138.60	SI4(133.8 to 143.1)	SI4-138.60a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		112.5	-54.8	0.5	10	100
This study	Simpson Island	SI4-138.70	SI4(133.8 to 143.1)	SI4-138.70a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		104.7	-62.8	0.3	10	100
This study	Simpson Island	SI4-139.20	SI4(133.8 to 143.1)	SI4-139.20a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		103.0	-62.4	0.5	8	100
This study	Simpson Island	SI4-139.80	SI4(133.8 to 143.1)	SI4-139.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		74.2	-53	0.3	10	100
This study	Simpson Island	SI4-139.81	SI4(133.8 to 143.1)	SI4-139.81a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.01	T		115.1	-62	0.4	10	100
This study	Simpson Island	SI4-14.0	SI4(13.8 to 20.2)	SI4-14.0a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		115.7	-75.8	0.6	8	100
This study	Simpson Island	SI4-140.80	SI4(133.8 to 143.1)	SI4-140.80a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.008	T		95.3	-59.3	1	9	100
This study	Simpson Island	SI4-140.85	SI4(133.8 to 143.1)	SI4-140.85a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		116.9	-54.4	1.7	8	100
This study	Simpson Island	SI4-141.30	SI4(133.8 to 143.1)	SI4-141.30a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		120.2	-66.6	1.2	8	100
This study	Simpson Island	SI4-15.1	SI4(13.8 to 20.2)	SI4-15.1a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		114.1	-71.7	0.3	8	100
This study	Simpson Island	SI4-15.7	SI4(13.8 to 20.2)	SI4-15.7a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		106.6	-71.7	0.9	8	100
This study	Simpson Island	SI4-161.10	SI4(160.4 to 171.1)	SI4-161.10a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		154.3	-55.6	0.5	8	100
This study	Simpson Island	SI4-161.21	SI4(160.4 to 171.1)	SI4-161.21a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		156.5	-66.3	0.6	8	100
This study	Simpson Island	SI4-161.22	SI4(160.4 to 171.1)	SI4-161.22a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		151.6	-63.7	0.6	8	100
This study	Simpson Island	SI4-161.23	SI4(160.4 to 171.1)	SI4-161.23a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		157.1	-62.8	0.4	8	100
This study	Simpson Island	SI4-162.00	SI4(160.4 to 171.1)	SI4-162.00a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		154.9	-67.1	0.6	8	100
This study	Simpson Island	SI4-162.11	SI4(160.4 to 171.1)	SI4-162.11a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		156.1	-59.7	0.8	8	100
This study	Simpson Island	SI4-162.12	SI4(160.4 to 171.1)	SI4-162.12a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.01	T		150.5	-63	0.7	8	100
This study	Simpson Island	SI4-162.20	SI4(160.4 to 171.1)	SI4-162.20a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		130.1	-58.5	0.6	8	100
This study	Simpson Island	SI4-18.5	SI4(13.8 to 20.2)	SI4-18.5a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		113.6	-75.3	0.4	8	100
This study	Simpson Island	SI4-18.7	SI4(13.8 to 20.2)	SI4-18.7a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		109.6	-70.5	0.5	8	100
This study	Simpson Island	SI4-18.9	SI4(13.8 to 20.2)	SI4-18.9a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		110.2	-70.2	0.4	8	100
This study	Simpson Island	SI4-2.5	SI4(0.0 to 13.8)	SI4-2.5a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		131.3	-73.6	0.4	8	100
This study	Simpson Island	SI4-23.0	SI4(21.4 to 30.0)	SI4-23.0a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		91.5	-72.4	0.4	10	100
This study	Simpson Island	SI4-24.1	SI4(21.4 to 30.0)	SI4-24.1a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		94.7	-65.6	0.4	10	100
This study	Simpson Island	SI4-24.7	SI4(21.4 to 30.0)	SI4-24.7a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.015	T		106.9	-75.8	0.2	8	100
This study	Simpson Island	SI4-25.2	SI4(21.4 to 30.0)	SI4-25.2a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		94.6	-68.8	0.5	10	100
This study	Simpson Island	SI4-25.6	SI4(21.4 to 30.0)	SI4-25.6a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		103.4	-70.9	0.3	10	100
This study	Simpson Island	SI4-25.8	SI4(21.4 to 30.0)	SI4-25.8a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		97.3	-70.6	0.5	10	100
This study	Simpson Island	SI4-25.9	SI4(21.4 to 30.0)	SI4-25.9a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T		119.6	-70.2	0.4	10	100
This study	Simpson Island	SI4-3.2	SI4(0.0 to 13.8)	SI4-3.2a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		106.2	-70.6	0.3	8	100
This study	Simpson Island	SI4-4.5	SI4(0.0 to 13.8)	SI4-4.5a	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T		129.6	-74.1	0.6	8	100
